# Generated by scripts/checkov-policy.py from Checkov 3.3.17 --list.
# Rule ID	Disposition	Reason	Upstream policy
CKV2_ADO_1	exclude	The fleet merges agent work without mandatory human review.	Ensure at least two approving reviews for PRs
CKV2_ANSIBLE_1	enable	Portable security requirement.	Ensure that HTTPS url is used with uri
CKV2_ANSIBLE_2	enable	Portable security requirement.	Ensure that HTTPS url is used with get_url
CKV2_ANSIBLE_3	enable	Portable security requirement.	Ensure block is handling task errors properly
CKV2_ANSIBLE_4	enable	Portable security requirement.	Ensure that packages with untrusted or missing GPG signatures are not used by dnf
CKV2_ANSIBLE_5	enable	Portable security requirement.	Ensure that SSL validation isn't disabled with dnf
CKV2_ANSIBLE_6	enable	Portable security requirement.	Ensure that certificate validation isn't disabled with dnf
CKV2_AWS_1	enable	Portable security requirement.	Ensure that all NACL are attached to subnets
CKV2_AWS_10	enable	Portable security requirement.	Ensure CloudTrail trails are integrated with CloudWatch Logs
CKV2_AWS_11	enable	Portable security requirement.	Ensure VPC flow logging is enabled in all VPCs
CKV2_AWS_12	enable	Portable security requirement.	Ensure the default security group of every VPC restricts all traffic
CKV2_AWS_14	enable	Portable security requirement.	Ensure that IAM groups includes at least one IAM user
CKV2_AWS_15	enable	Portable security requirement.	Ensure that auto Scaling groups that are associated with a load balancer are using Elastic Load Balancing health checks.
CKV2_AWS_16	enable	Portable security requirement.	Ensure that Auto Scaling is enabled on your DynamoDB tables
CKV2_AWS_18	enable	Portable security requirement.	Ensure that Elastic File System (Amazon EFS) file systems are added in the backup plans of AWS Backup
CKV2_AWS_19	enable	Portable security requirement.	Ensure that all EIP addresses allocated to a VPC are attached to EC2 instances
CKV2_AWS_2	enable	Portable security requirement.	Ensure that only encrypted EBS volumes are attached to EC2 instances
CKV2_AWS_20	enable	Portable security requirement.	Ensure that ALB redirects HTTP requests into HTTPS ones
CKV2_AWS_21	enable	Portable security requirement.	Ensure that all IAM users are members of at least one IAM group.
CKV2_AWS_22	enable	Portable security requirement.	Ensure an IAM User does not have access to the console
CKV2_AWS_23	enable	Portable security requirement.	Route53 A Record has Attached Resource
CKV2_AWS_27	enable	Portable security requirement.	Ensure Postgres RDS as aws_rds_cluster has Query Logging enabled
CKV2_AWS_28	enable	Portable security requirement.	Ensure public facing ALB are protected by WAF
CKV2_AWS_29	enable	Portable security requirement.	Ensure public API gateway are protected by WAF
CKV2_AWS_3	exclude	A paid security service is not mandatory for every deployment.	Ensure GuardDuty is enabled to specific org/region
CKV2_AWS_30	enable	Portable security requirement.	Ensure Postgres RDS as aws_db_instance has Query Logging enabled
CKV2_AWS_31	enable	Portable security requirement.	Ensure WAF2 has a Logging Configuration
CKV2_AWS_32	enable	Portable security requirement.	Ensure CloudFront distribution has a response headers policy attached
CKV2_AWS_33	enable	Portable security requirement.	Ensure AppSync is protected by WAF
CKV2_AWS_34	enable	Portable security requirement.	AWS SSM Parameter should be Encrypted
CKV2_AWS_35	enable	Portable security requirement.	AWS NAT Gateways should be utilized for the default route
CKV2_AWS_36	enable	Portable security requirement.	Ensure terraform is not sending SSM secrets to untrusted domains over HTTP
CKV2_AWS_37	enable	Portable security requirement.	Ensure CodeCommit associates an approval rule
CKV2_AWS_38	enable	Portable security requirement.	Ensure Domain Name System Security Extensions (DNSSEC) signing is enabled for Amazon Route 53 public hosted zones
CKV2_AWS_39	enable	Portable security requirement.	Ensure Domain Name System (DNS) query logging is enabled for Amazon Route 53 hosted zones
CKV2_AWS_4	enable	Portable security requirement.	Ensure API Gateway stage have logging level defined as appropriate
CKV2_AWS_40	enable	Portable security requirement.	Ensure AWS IAM policy does not allow full IAM privileges
CKV2_AWS_41	enable	Portable security requirement.	Ensure an IAM role is attached to EC2 instance
CKV2_AWS_42	enable	Portable security requirement.	Ensure AWS CloudFront distribution uses custom SSL certificate
CKV2_AWS_43	enable	Portable security requirement.	Ensure S3 Bucket does not allow access to all Authenticated users
CKV2_AWS_44	enable	Portable security requirement.	Ensure AWS route table with VPC peering does not contain routes overly permissive to all traffic
CKV2_AWS_45	enable	Portable security requirement.	Ensure AWS Config recorder is enabled to record all supported resources
CKV2_AWS_46	enable	Portable security requirement.	Ensure AWS CloudFront Distribution with S3 have Origin Access set to enabled
CKV2_AWS_47	enable	Portable security requirement.	Ensure AWS CloudFront attached WAFv2 WebACL is configured with AMR for Log4j Vulnerability
CKV2_AWS_48	enable	Portable security requirement.	Ensure AWS Config must record all possible resources
CKV2_AWS_49	enable	Portable security requirement.	Ensure AWS Database Migration Service endpoints have SSL configured
CKV2_AWS_5	enable	Portable security requirement.	Ensure that Security Groups are attached to another resource
CKV2_AWS_50	exclude	Availability and replication depend on the deployment.	Ensure AWS ElastiCache Redis cluster with Multi-AZ Automatic Failover feature set to enabled
